cust_id,age,gender,location,platform,followers,eng_rate,ad_click_rate,brand_time_week,ugc_shares,monthly_purchases,avg_spend_ghs,trust_score,satisfaction_score,loyalty_score,nps_score,infl_score,promo_sens,brand_switch,satisfaction_cat,infl_cat,follower_segment,eng_rate_scaled,ad_click_rate_scaled,brand_time_week_scaled,ugc_shares_scaled,monthly_purchases_scaled,avg_spend_ghs_scaled,trust_score_scaled,satisfaction_score_scaled,loyalty_score_scaled,nps_score_scaled,infl_score_scaled,Digital_Engagement_Score,Cust_Value_Score,Brand_Rel_Score,Eng_Segment,Value_Segment,Influencer_Tier,Eng_Efficiency,Platform_Loc_Fit,Ugc_Effectiveness,Eng_Trust_Conversion,Click_Purchase_Efficiency,Loyalty_Resilience,Growth_Potential,Profit_Potential,BehaviorType_Score
Cust018,47.0,Female,Rural,Instagram,39890.0,0.99,4.29,90.44,0,9.0,1869.23,5.0,8.0,9.0,9.0,6.0,0.0,0.0,High,Medium,20K-50K,0.038,0.865,0.267,0.0,1.0,0.935,0.444,0.778,0.889,0.889,0.556,0.292,1.935,0.75,Low_Engager,High_Value_Customer,Mid-Tier,0.011,6.105,0.0,0.055,1.701,9.0,1.45,0.859,1.935
Cust029,33.0,Male,Rural,Facebook,8308.0,1.25,0.05,246.0,0,9.0,1659.01,5.0,3.0,3.0,7.0,2.0,1.0,1.0,Low,Low,5K-20K,0.067,0.0,0.811,0.0,1.0,0.827,0.444,0.222,0.222,0.667,0.111,0.22,1.827,0.389,Low_Engager,High_Value_Customer,Micro,0.005,5.74,0.0,0.02,8.571,0.0,1.163,0.811,0.0
Cust081,42.0,Female,Urban,Linkedin,8816.0,5.68,0.59,127.01,1,3.0,1446.55,1.0,9.0,1.0,1.0,5.0,1.0,0.0,High,Medium,5K-20K,0.552,0.11,0.395,1.0,0.25,0.717,0.0,0.889,0.0,0.0,0.444,0.514,0.967,0.222,Medium_Engager,High_Value_Customer,Mid-Tier,0.044,4.365,1.0,0.008,1.887,1.0,0.669,0.0,0.0
Cust042,38.0,Male,Rural,Twitter,45336.0,9.57,3.96,119.17,0,5.0,905.55,10.0,1.0,2.0,1.0,8.0,0.0,1.0,Low,High,20K-50K,0.978,0.798,0.367,0.0,0.5,0.438,1.0,0.0,0.111,0.0,0.778,0.536,0.938,0.278,High_Engager,Standard_Customer,Macro,0.08,5.342,0.0,0.083,1.008,0.0,0.741,0.938,0.938
Cust079,32.0,Female,Urban,Linkedin,29692.0,6.61,2.34,172.67,1,2.0,1216.96,8.0,8.0,3.0,5.0,9.0,0.0,1.0,High,High,20K-50K,0.654,0.467,0.555,1.0,0.125,0.599,0.778,0.778,0.222,0.444,0.889,0.669,0.724,0.556,High_Engager,Standard_Customer,Macro,0.038,4.365,8.0,0.046,0.599,0.0,0.657,0.563,0.724
Cust048,52.0,Female,Urban,Linkedin,6202.0,3.88,2.21,291.28,0,5.0,496.6,1.0,2.0,8.0,10.0,10.0,1.0,0.0,Low,High,5K-20K,0.355,0.441,0.97,0.0,0.5,0.227,0.0,0.111,0.778,1.0,1.0,0.442,0.727,0.472,Medium_Engager,Standard_Customer,,0.013,4.365,0.0,0.003,1.558,8.0,0.792,0.0,0.0
Cust065,48.0,Male,Urban,Facebook,10829.0,0.93,1.85,47.46,1,5.0,1442.42,7.0,3.0,1.0,9.0,8.0,0.0,1.0,Low,High,5K-20K,0.032,0.367,0.116,1.0,0.5,0.715,0.667,0.222,0.0,0.889,0.778,0.379,1.215,0.444,Low_Engager,High_Value_Customer,Macro,0.019,4.851,7.0,0.144,1.754,0.0,0.885,0.81,1.215
Cust086,25.0,Female,Rural,Linkedin,4880.0,2.36,4.81,214.18,0,3.0,493.33,3.0,4.0,1.0,5.0,5.0,0.0,0.0,Low,Medium,1K-5K,0.188,0.971,0.7,0.0,0.25,0.226,0.222,0.333,0.0,0.444,0.444,0.465,0.476,0.25,Low_Engager,Standard_Customer,Mid-Tier,0.011,4.797,0.0,0.014,0.516,1.0,0.374,0.106,0.476
Cust051,53.0,Female,Rural,Linkedin,34684.0,1.6,0.59,145.92,1,5.0,698.99,8.0,5.0,4.0,3.0,9.0,1.0,0.0,Medium,High,20K-50K,0.105,0.11,0.461,1.0,0.5,0.332,0.778,0.444,0.333,0.222,0.889,0.419,0.832,0.444,Low_Engager,Standard_Customer,Macro,0.011,4.797,8.0,0.054,3.145,4.0,0.744,0.647,0.0
Cust038,21.0,Male,Urban,Twitter,18811.0,5.72,1.47,280.49,1,8.0,1441.88,9.0,2.0,7.0,7.0,4.0,1.0,1.0,Low,Low,5K-20K,0.556,0.29,0.932,1.0,0.875,0.715,0.889,0.111,0.667,0.667,0.333,0.694,1.59,0.584,Medium_Engager,High_Value_Customer,Mid-Tier,0.02,5.301,9.0,0.032,3.239,0.0,1.154,1.414,0.0
Cust074,41.0,Female,Urban,Linkedin,40074.0,0.75,2.12,160.89,1,1.0,1102.73,1.0,1.0,2.0,4.0,6.0,1.0,0.0,Low,Medium,20K-50K,0.012,0.422,0.513,1.0,0.0,0.54,0.0,0.0,0.111,0.333,0.556,0.487,0.54,0.111,Low_Engager,Standard_Customer,Mid-Tier,0.005,4.365,1.0,0.006,0.321,2.0,0.457,0.0,0.0
Cust055,23.0,Male,Rural,Facebook,38310.0,7.18,0.51,260.77,0,6.0,1763.33,6.0,3.0,4.0,2.0,6.0,0.0,1.0,Low,Medium,20K-50K,0.716,0.094,0.863,0.0,0.625,0.88,0.556,0.222,0.333,0.111,0.556,0.418,1.505,0.306,High_Engager,High_Value_Customer,Mid-Tier,0.027,5.74,0.0,0.023,3.974,0.0,1.081,0.837,1.505
Cust057,21.0,Male,Rural,Linkedin,36731.0,1.43,3.5,299.92,1,4.0,1495.85,8.0,7.0,2.0,7.0,5.0,0.0,0.0,Medium,Medium,20K-50K,0.087,0.704,1.0,1.0,0.375,0.742,0.778,0.667,0.111,0.667,0.444,0.698,1.117,0.556,Low_Engager,High_Value_Customer,Mid-Tier,0.005,4.797,8.0,0.027,0.889,2.0,0.781,0.869,1.117
Cust076,42.0,Female,Rural,Linkedin,19290.0,9.43,0.56,160.85,0,6.0,847.46,1.0,3.0,3.0,5.0,3.0,0.0,1.0,Low,Low,5K-20K,0.963,0.104,0.513,0.0,0.625,0.408,0.0,0.222,0.222,0.444,0.222,0.395,1.033,0.222,High_Engager,High_Value_Customer,Micro,0.058,4.797,0.0,0.006,3.846,0.0,0.709,0.0,1.033
Cust057,21.0,Male,Rural,Linkedin,36731.0,1.43,3.5,299.92,1,4.0,1495.85,8.0,7.0,2.0,7.0,5.0,0.0,0.0,Medium,Medium,20K-50K,0.087,0.704,1.0,1.0,0.375,0.742,0.778,0.667,0.111,0.667,0.444,0.698,1.117,0.556,Low_Engager,High_Value_Customer,Mid-Tier,0.005,4.797,8.0,0.027,0.889,2.0,0.781,0.869,1.117
Cust050,34.0,Female,Urban,Linkedin,26741.0,4.716605783866058,2.516173885821159,253.12,1,1.0,891.48,6.0,1.0,10.0,7.0,8.0,0.0,0.0,Low,High,20K-50K,0.447,0.503,0.836,1.0,0.0,0.431,0.556,0.0,1.0,0.667,0.778,0.696,0.431,0.556,Medium_Engager,Standard_Customer,Macro,0.019,4.365,6.0,0.024,0.284,10.0,0.614,0.24,0.431
Cust023,29.0,Male,Rural,Linkedin,40864.0,9.77,4.51,32.54,1,1.0,1457.11,9.0,5.0,10.0,2.0,4.0,0.0,1.0,Medium,Low,20K-50K,1.0,0.91,0.064,1.0,0.0,0.723,0.889,0.444,1.0,0.111,0.333,0.744,0.723,0.611,High_Engager,Standard_Customer,Mid-Tier,0.291,4.797,9.0,0.268,0.181,0.0,0.7,0.643,0.723
Cust091,52.0,Male,Rural,Twitter,4595.0,6.99,4.82,181.08,1,1.0,321.28,2.0,5.0,1.0,8.0,10.0,1.0,0.0,Medium,High,1K-5K,0.696,0.973,0.584,1.0,0.0,0.137,0.111,0.444,0.0,0.778,1.0,0.813,0.137,0.333,High_Engager,Standard_Customer,,0.038,5.342,2.0,0.011,0.172,1.0,0.282,0.015,0.0
Cust033,24.0,Female,Urban,Instagram,36312.0,7.11,4.75,248.54,1,2.0,1820.34,10.0,4.0,10.0,2.0,3.0,0.0,0.0,Low,Low,20K-50K,0.709,0.959,0.82,1.0,0.125,0.91,1.0,0.333,1.0,0.111,0.222,0.872,1.035,0.611,High_Engager,High_Value_Customer,Micro,0.028,4.715,10.0,0.04,0.348,10.0,0.865,1.035,1.035
Cust013,41.0,Female,Rural,Facebook,19838.0,5.46,2.06,91.48,0,7.0,1598.86,9.0,8.0,5.0,6.0,3.0,1.0,1.0,High,Low,5K-20K,0.528,0.41,0.27,0.0,0.75,0.796,0.889,0.778,0.444,0.556,0.222,0.302,1.546,0.667,Medium_Engager,High_Value_Customer,Micro,0.059,5.74,0.0,0.097,2.288,0.0,1.061,1.374,0.0
Cust015,39.0,Male,Rural,Instagram,49477.0,2.55,3.88,268.18,0,6.0,1708.92,7.0,9.0,6.0,7.0,6.0,0.0,0.0,High,Medium,20K-50K,0.209,0.782,0.889,0.0,0.625,0.852,0.667,0.889,0.556,0.667,0.556,0.47,1.477,0.695,Low_Engager,High_Value_Customer,Mid-Tier,0.009,6.105,0.0,0.026,1.23,6.0,1.109,0.985,1.477
Cust032,54.0,Male,Rural,Linkedin,17553.0,4.716605783866058,1.6,274.17,1,9.0,1285.83,9.0,4.0,3.0,3.0,3.0,1.0,1.0,Low,Low,5K-20K,0.447,0.316,0.91,1.0,1.0,0.634,0.889,0.333,0.222,0.222,0.222,0.668,1.634,0.416,Medium_Engager,High_Value_Customer,Micro,0.017,4.797,9.0,0.033,3.462,0.0,1.069,1.453,0.0
Cust068,31.0,Female,Rural,Facebook,884.0,5.28,4.93,76.31,1,6.0,250.69,9.0,6.0,8.0,5.0,3.0,1.0,1.0,Medium,Low,0-1K,0.508,0.996,0.217,1.0,0.625,0.101,0.889,0.556,0.778,0.444,0.222,0.68,0.726,0.667,Medium_Engager,Standard_Customer,Micro,0.068,5.74,9.0,0.116,1.012,0.0,0.636,0.645,0.0
Cust071,38.0,Female,Rural,Instagram,40428.0,2.05,0.42,113.87,0,4.0,941.15,6.0,10.0,7.0,3.0,2.0,0.0,0.0,High,Low,20K-50K,0.154,0.076,0.349,0.0,0.375,0.457,0.556,1.0,0.667,0.222,0.111,0.145,0.832,0.611,Low_Engager,Standard_Customer,Micro,0.018,6.105,0.0,0.052,2.817,7.0,0.655,0.463,0.832
Cust034,38.0,Male,Urban,Linkedin,43625.0,4.39,4.75,157.2820927052901,1,4.0,666.58,4.0,5.0,5.0,3.0,6.0,0.0,0.0,Medium,Medium,20K-50K,0.411,0.959,0.501,1.0,0.375,0.315,0.333,0.444,0.444,0.222,0.556,0.718,0.69,0.361,Medium_Engager,Standard_Customer,Mid-Tier,0.028,4.365,4.0,0.025,0.696,5.0,0.614,0.23,0.69
Cust011,53.0,Male,Urban,Twitter,25647.0,3.92,4.03,271.34,0,7.0,972.67,3.0,2.0,10.0,10.0,1.0,1.0,1.0,Low,Low,20K-50K,0.359,0.812,0.9,0.0,0.75,0.473,0.222,0.111,1.0,1.0,0.0,0.518,1.223,0.583,Medium_Engager,High_Value_Customer,Micro,0.014,5.301,0.0,0.011,1.392,0.0,0.934,0.272,0.0
Cust017,41.0,Female,Urban,Twitter,32452.0,1.31,4.65,189.84,0,3.0,846.61,5.0,3.0,2.0,7.0,5.0,0.0,0.0,Low,Medium,20K-50K,0.073,0.939,0.615,0.0,0.25,0.408,0.444,0.222,0.111,0.667,0.444,0.407,0.658,0.361,Low_Engager,Standard_Customer,Mid-Tier,0.007,5.301,0.0,0.026,0.531,2.0,0.506,0.292,0.658
Cust001,46.0,Female,Urban,Twitter,42014.0,1.39,1.41,297.96,0,1.0,770.0,4.0,7.0,9.0,9.0,8.0,0.0,1.0,Medium,High,20K-50K,0.082,0.278,0.993,0.0,0.0,0.368,0.333,0.667,0.889,0.889,0.778,0.338,0.368,0.694,Low_Engager,Standard_Customer,Macro,0.005,5.301,0.0,0.013,0.415,0.0,0.554,0.123,0.368
Cust003,25.0,Female,Urban,Facebook,25647.0,0.84,3.48,170.62,0,4.0,1119.78,8.0,3.0,2.0,9.0,6.0,1.0,1.0,Low,Medium,20K-50K,0.022,0.7,0.547,0.0,0.375,0.549,0.778,0.222,0.111,0.889,0.556,0.317,0.924,0.5,Low_Engager,Standard_Customer,Mid-Tier,0.005,4.851,0.0,0.047,0.893,0.0,0.688,0.719,0.0
Cust043,19.0,Male,Rural,Twitter,49858.0,7.51,3.95,245.06,0,6.0,1176.1,6.0,7.0,7.0,4.0,6.0,0.0,0.0,Medium,Medium,20K-50K,0.752,0.796,0.808,0.0,0.625,0.578,0.556,0.667,0.667,0.333,0.556,0.589,1.203,0.556,High_Engager,High_Value_Customer,Mid-Tier,0.031,5.342,0.0,0.024,1.212,7.0,0.966,0.669,1.203
Cust096,56.0,Female,Rural,Linkedin,32197.0,8.24,2.64,159.06,0,1.0,249.31,8.0,4.0,8.0,4.0,4.0,1.0,0.0,Low,Low,20K-50K,0.832,0.529,0.507,0.0,0.0,0.1,0.778,0.333,0.778,0.333,0.333,0.467,0.1,0.556,High_Engager,Standard_Customer,Mid-Tier,0.051,4.797,0.0,0.05,0.275,8.0,0.282,0.078,0.0
Cust024,39.0,Male,Urban,Instagram,9107.0,5.4,2.53,292.57,0,7.0,143.78,1.0,3.0,5.0,4.0,10.0,0.0,1.0,Low,High,5K-20K,0.521,0.506,0.974,0.0,0.75,0.046,0.0,0.222,0.444,0.333,1.0,0.5,0.796,0.25,Medium_Engager,Standard_Customer,,0.018,4.715,0.0,0.003,1.983,0.0,0.766,0.0,0.796
Cust049,31.0,Male,Urban,Instagram,19878.0,7.7,4.44,254.21,1,9.0,1108.56,3.0,2.0,1.0,2.0,9.0,0.0,1.0,Low,High,5K-20K,0.773,0.896,0.84,1.0,1.0,0.543,0.222,0.111,0.0,0.111,0.889,0.877,1.543,0.111,High_Engager,High_Value_Customer,Macro,0.03,4.715,3.0,0.012,1.654,0.0,1.104,0.343,1.543
Cust074,41.0,Female,Urban,Instagram,40074.0,0.75,2.12,160.89,1,1.0,1102.73,1.0,1.0,2.0,4.0,6.0,1.0,0.0,Low,Medium,20K-50K,0.012,0.422,0.513,1.0,0.0,0.54,0.0,0.0,0.111,0.333,0.556,0.487,0.54,0.111,Low_Engager,Standard_Customer,Mid-Tier,0.005,4.715,1.0,0.006,0.321,2.0,0.457,0.0,0.0
Cust032,54.0,Male,Rural,Linkedin,17553.0,8.44,1.6,274.17,1,9.0,1285.83,9.0,4.0,3.0,3.0,3.0,1.0,1.0,Low,Low,5K-20K,0.854,0.316,0.91,1.0,1.0,0.634,0.889,0.333,0.222,0.222,0.222,0.77,1.634,0.416,High_Engager,High_Value_Customer,Micro,0.031,4.797,9.0,0.033,3.462,0.0,1.069,1.453,0.0
Cust088,28.0,Male,Urban,Linkedin,12139.0,1.46,1.43,49.55,1,1.0,611.46,2.0,10.0,3.0,6.0,9.0,1.0,1.0,High,High,5K-20K,0.09,0.282,0.124,1.0,0.0,0.287,0.111,1.0,0.222,0.556,0.889,0.374,0.287,0.472,Low_Engager,Standard_Customer,Macro,0.029,4.365,2.0,0.04,0.412,0.0,0.394,0.032,0.0
Cust065,48.0,Male,Urban,Facebook,10829.0,0.93,1.85,47.46,1,5.0,1442.42,7.0,5.0,1.0,9.0,8.0,0.0,1.0,Medium,High,5K-20K,0.032,0.367,0.116,1.0,0.5,0.715,0.667,0.444,0.0,0.889,0.778,0.379,1.215,0.5,Low_Engager,High_Value_Customer,Macro,0.019,4.851,7.0,0.144,1.754,0.0,0.885,0.81,1.215
Cust054,19.0,Male,Rural,Twitter,25647.0,8.63,3.09,26.35,1,5.4,375.12,4.0,2.0,3.0,7.0,8.0,1.0,1.0,Low,High,20K-50K,0.875,0.62,0.042,1.0,0.55,0.165,0.333,0.111,0.222,0.667,0.778,0.634,0.715,0.333,High_Engager,Standard_Customer,Macro,0.316,5.342,4.0,0.146,1.32,0.0,0.629,0.238,0.0
Cust069,40.0,Female,Urban,Instagram,27851.0,8.64,3.77,204.79,1,2.0,1096.14,1.0,8.0,10.0,1.0,8.0,0.0,0.0,High,High,20K-50K,0.876,0.759,0.667,1.0,0.125,0.536,0.0,0.778,1.0,0.0,0.778,0.826,0.661,0.444,High_Engager,Standard_Customer,Macro,0.042,4.715,1.0,0.005,0.419,10.0,0.752,0.0,0.661
Cust045,45.0,Female,Urban,Linkedin,290.0,6.31,2.47,53.62,0,2.0,813.39,7.0,3.0,6.0,9.0,3.0,0.0,0.0,Low,Low,0-1K,0.621,0.494,0.138,0.0,0.125,0.391,0.667,0.222,0.556,0.889,0.222,0.313,0.516,0.584,High_Engager,Standard_Customer,Micro,0.116,4.365,0.0,0.128,0.576,6.0,0.465,0.344,0.516
Cust035,26.0,Male,Urban,Facebook,47302.0,2.15,2.87,220.46,1,6.0,1197.2,9.0,6.0,8.0,5.0,8.0,0.0,0.0,Medium,High,20K-50K,0.165,0.576,0.722,1.0,0.625,0.589,0.889,0.556,0.778,0.444,0.778,0.616,1.214,0.667,Low_Engager,High_Value_Customer,Macro,0.01,4.851,9.0,0.041,1.55,8.0,1.04,1.079,1.214
Cust022,50.0,Male,Urban,Linkedin,27743.0,7.4,0.52,179.26,0,9.0,1856.58,7.0,9.0,1.0,7.0,3.0,1.0,0.0,High,Low,20K-50K,0.74,0.096,0.578,0.0,1.0,0.928,0.667,0.889,0.0,0.667,0.222,0.354,1.928,0.556,High_Engager,High_Value_Customer,Micro,0.041,4.365,0.0,0.039,5.921,1.0,1.201,1.286,0.0
Cust089,34.0,Female,Rural,Linkedin,6755.0,0.67,4.34,14.22,1,4.0,1249.15,6.0,2.0,8.0,7.0,3.0,0.0,0.0,Low,Low,5K-20K,0.003,0.876,0.0,1.0,0.375,0.615,0.556,0.111,0.778,0.667,0.222,0.47,0.99,0.528,Low_Engager,High_Value_Customer,Micro,0.044,4.797,6.0,0.394,0.749,8.0,0.794,0.55,0.99
Cust018,47.0,Female,Rural,Instagram,39890.0,0.99,4.29,90.44,0,9.0,1860.4279000000022,5.0,8.0,9.0,9.0,6.0,0.0,0.0,High,Medium,20K-50K,0.038,0.865,0.267,0.0,1.0,0.93,0.444,0.778,0.889,0.889,0.556,0.292,1.93,0.75,Low_Engager,High_Value_Customer,Mid-Tier,0.011,6.105,0.0,0.055,1.701,9.0,1.447,0.857,1.93
Cust082,24.0,Male,Rural,Facebook,23455.0,9.44,0.59,48.86,1,5.0,1218.11,8.0,7.0,1.0,9.0,10.0,0.0,0.0,Medium,High,20K-50K,0.964,0.11,0.121,1.0,0.5,0.599,0.778,0.667,0.0,0.889,1.0,0.549,1.099,0.584,High_Engager,High_Value_Customer,,0.189,5.74,8.0,0.16,3.145,1.0,0.859,0.855,1.099
Cust063,53.0,Male,Rural,Linkedin,35877.0,6.35,4.93,81.73,1,3.0,329.1,5.0,2.0,9.0,9.0,1.0,1.0,1.0,Low,Low,20K-50K,0.625,0.996,0.236,1.0,0.25,0.141,0.444,0.111,0.889,0.889,0.0,0.714,0.391,0.583,High_Engager,Standard_Customer,Micro,0.077,4.797,5.0,0.06,0.506,0.0,0.412,0.174,0.0
Cust041,26.0,Female,Rural,Facebook,401.0,3.16,3.76,17.65,0,9.0,1102.57,9.0,7.0,6.0,8.0,9.0,0.0,1.0,Medium,High,0-1K,0.276,0.757,0.012,0.0,1.0,0.54,0.889,0.667,0.556,0.778,0.889,0.261,1.54,0.722,Low_Engager,High_Value_Customer,Macro,0.169,5.74,0.0,0.483,1.891,0.0,1.213,1.369,1.54
Cust006,36.0,Female,Rural,Linkedin,6993.0,3.22,3.68,192.53,0,7.0,1384.91,10.0,3.0,9.0,6.0,10.0,1.0,0.0,Low,High,5K-20K,0.283,0.741,0.624,0.0,0.75,0.685,1.0,0.222,0.889,0.556,1.0,0.412,1.435,0.667,Medium_Engager,High_Value_Customer,,0.017,4.797,0.0,0.052,1.496,9.0,1.239,1.435,0.0
Cust005,56.0,Male,Rural,Linkedin,17529.0,5.66,4.39,161.7,1,6.0,443.37,8.0,10.0,5.0,9.0,3.0,0.0,0.0,High,Low,5K-20K,0.55,0.886,0.516,1.0,0.625,0.2,0.778,1.0,0.444,0.889,0.222,0.738,0.825,0.778,Medium_Engager,Standard_Customer,Micro,0.035,4.797,8.0,0.049,1.113,5.0,0.628,0.642,0.825
Cust040,31.0,Female,Urban,Facebook,31316.0,6.77,3.36,23.11,0,3.0,1267.0,4.0,10.0,3.0,7.0,2.0,0.0,0.0,High,Low,20K-50K,0.671,0.676,0.031,0.0,0.25,0.625,0.333,1.0,0.222,0.667,0.111,0.344,0.875,0.556,High_Engager,Standard_Customer,Micro,0.281,4.851,0.0,0.166,0.688,3.0,0.592,0.291,0.875
Cust031,20.0,Male,Urban,Facebook,43584.0,9.65,0.46,57.16,1,3.0,509.6,5.0,8.0,4.0,8.0,8.0,0.0,1.0,High,High,20K-50K,0.987,0.084,0.15,1.0,0.25,0.234,0.444,0.778,0.333,0.778,0.778,0.555,0.484,0.583,High_Engager,Standard_Customer,Macro,0.166,4.851,5.0,0.086,2.055,0.0,0.513,0.215,0.484
Cust027,59.0,Male,Rural,Linkedin,44180.0,3.07,4.48,165.47,1,1.0,1513.48,3.0,8.0,6.0,2.0,3.0,1.0,1.0,High,Low,20K-50K,0.266,0.904,0.529,1.0,0.0,0.752,0.222,0.778,0.556,0.111,0.222,0.675,0.752,0.417,Low_Engager,Standard_Customer,Micro,0.018,4.797,3.0,0.018,0.182,0.0,0.607,0.167,0.0
Cust022,50.0,Male,Urban,Linkedin,27743.0,7.4,0.52,179.26,0,9.0,1856.58,7.0,9.0,1.0,7.0,3.0,0.0,0.0,High,Low,20K-50K,0.74,0.096,0.578,0.0,1.0,0.928,0.667,0.889,0.0,0.667,0.222,0.354,1.928,0.556,High_Engager,High_Value_Customer,Micro,0.041,4.365,0.0,0.039,5.921,1.0,1.201,1.286,1.928
Cust020,19.0,Male,Rural,Twitter,5700.0,5.64,3.75,144.47,1,5.0,449.75,4.0,8.0,7.0,8.0,1.0,0.0,1.0,High,Low,5K-20K,0.548,0.755,0.456,1.0,0.5,0.203,0.333,0.778,0.667,0.778,0.0,0.69,0.703,0.639,Medium_Engager,Standard_Customer,Micro,0.039,5.342,4.0,0.027,1.053,0.0,0.555,0.234,0.703
Cust004,38.0,Male,Urban,Facebook,19930.0,4.92,3.14,291.1,0,8.0,1048.3166000000006,5.0,10.0,1.0,10.0,5.0,1.0,0.0,High,Medium,5K-20K,0.469,0.631,0.969,0.0,0.875,0.512,0.444,1.0,0.0,1.0,0.444,0.517,1.387,0.611,Medium_Engager,High_Value_Customer,Mid-Tier,0.017,4.851,0.0,0.017,1.932,1.0,0.921,0.616,0.0
